"","2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00578","1642.MS00426","1642.MS00421","2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00516","2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00520","1001.SKM7","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences","1001.SKM9","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00571","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00371","1642.MS00538","1642.MS00498","1642.MS00494","1001.SKD8","1642.MS00588","1642.MS00463","2382.GM.181.R1.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00354","1642.MS00470","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00402","1642.MS00418","1642.MS00517","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.537.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00486","1642.MS00491"
"1642.MS00571",0.09884388563,0.0229497538601,0.0263928415313,0.0244223390674,0.1047616130471,0.0216461336359,0.1011578587125,0.020341925634,0.1804153048733,0.1045611594938,0.08761340519,0.1064407736584,0.1902382465835,0.093342382045,0.0902817928332,0,0.1096434129428,0.0396191257492,0.0224712100673,0.0218715364874,0.0255839713392,0.1466367518923,0.0256058962365,0.0237330786006,0.0741787730283,0.0374090254629,0.022984430324,0.0995918253145,0.0248663681411,0.0238942060284,0.0214116280593,0.0909248356901,0.0887728102274,0.1041412681725,0.1132499683513,0.0926909823434,0.1060623573645,0.1359232033699,0.0213284903688,0.0274245762504
"2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences",0.0170119099166,0.1162422475082,0.0966192164532,0.0960585611027,0.0156189097402,0.1153629200277,0.0172288972408,0.098695867462,0.0720931406389,0.0581451043229,0.0318108192836,0.0455552720854,0.0851919505342,0.0701512471815,0.0427553628326,0.1096434129428,0,0.102326045896,0.1066216061498,0.1032647700132,0.1054512521658,0.0672890178973,0.1122939247085,0.1014807467967,0.0494527306043,0.0753421229501,0.1080479573862,0.0242171186716,0.1016795289958,0.1088515888339,0.0972272762629,0.0241249938681,0.0480771990564,0.0162854487658,0.0154932745824,0.0459983905015,0.0215304095396,0.0218902336747,0.1229237212968,0.1070114440155
"1642.MS00371",0.0891692535584,0.0474257999739,0.0281128146651,0.0322192696455,0.0918194273179,0.0436667030665,0.0941630780513,0.0459585534443,0.1530197659073,0.1004095613971,0.0804172536714,0.0991735364213,0.1594921226752,0.0868713795631,0.0853957633743,0.0396191257492,0.102326045896,0,0.039869420375,0.0420200684541,0.047052143984,0.1360362610008,0.0474090056116,0.0407871289308,0.0746573682559,0.0223298583608,0.044422390192,0.0915350663795,0.0353584568735,0.0332783153658,0.0380193883582,0.0868464146448,0.0865060350811,0.091113475456,0.1177271929056,0.0872603707817,0.0999964395279,0.1214008331235,0.0413511791098,0.044003753365
"1642.MS00538",0.0940360292891,0.0246643845795,0.0250984105799,0.0219884391531,0.0999899767046,0.02075035432,0.0976048068608,0.0221637329615,0.1681550763708,0.086952990712,0.0880549029907,0.0873784240272,0.1712666428731,0.0934725813467,0.0887155833542,0.0224712100673,0.1066216061498,0.039869420375,0,0.0211067829828,0.0229217961781,0.1600570470129,0.0286663242248,0.022045843095,0.0739017806933,0.0397873073662,0.020841625777,0.0891321810443,0.0218203076573,0.0228488846344,0.0205326695932,0.0872508662257,0.0896858124272,0.1012107533755,0.1131876284341,0.0907051667626,0.1024785499261,0.1201653839444,0.0207189439951,0.0248326198444
"1642.MS00498",0.094464163829,0.0205409697129,0.0247181408458,0.0220684206172,0.0984810515254,0.0219460950932,0.0969620855953,0.019954323692,0.1712322056593,0.0963945065722,0.0877131009789,0.0969942118493,0.1781687528043,0.095833547496,0.0894703214336,0.0218715364874,0.1032647700132,0.0420200684541,0.0211067829828,0,0.0234048160202,0.1478148217632,0.0251030100479,0.0196878213482,0.0769198361856,0.0384159955555,0.0221556411046,0.0908444383233,0.0225074655966,0.0215235901827,0.0206637757922,0.0884017216585,0.0917420806427,0.1016279296168,0.1126022121076,0.0926569246585,0.0963388897586,0.1202900220824,0.0191667704342,0.0273977308725
"1642.MS00494",0.0955976396663,0.0270932982363,0.0294363737444,0.023437042073,0.0974838881991,0.0222203011959,0.0950280411401,0.0261633957104,0.1682244695111,0.0818399214703,0.0920956940687,0.0841460417845,0.1734607339179,0.0895599734007,0.0863426137914,0.0255839713392,0.1054512521658,0.047052143984,0.0229217961781,0.0234048160202,0,0.1596456082266,0.0315145153693,0.0255316799408,0.0736163070694,0.0475292404429,0.0217054996115,0.0891175329915,0.0240264662206,0.0253416243766,0.0236911655474,0.0881605836103,0.0888983159909,0.1004522891481,0.1117140988339,0.088764774354,0.1024329389953,0.1220497468019,0.0223178093587,0.0254941120255
"1001.SKD8",0.0768834971829,0.1564364820469,0.1442592393212,0.1427358555655,0.0700442880016,0.1658370737924,0.0763783661345,0.1360142445711,0.0254011480084,0.1413592005137,0.0838283497267,0.1031651007918,0.0315295344286,0.128684208981,0.0969181281662,0.1466367518923,0.0672890178973,0.1360362610008,0.1600570470129,0.1478148217632,0.1596456082266,0,0.1557018891603,0.1527977638837,0.1077346679363,0.0961870241868,0.1574787008879,0.0879099300241,0.1536228748598,0.1567105814929,0.1438066300837,0.0832652479551,0.1131264495729,0.0752516036361,0.0877485721331,0.1069179298686,0.0628043004052,0.083728951125,0.1726443472988,0.1599187633439
"1642.MS00588",0.1050104700957,0.0239064215258,0.0326866946179,0.0309857581973,0.1052579063657,0.0285044437587,0.1063268037001,0.0235777808318,0.1645709151407,0.1013410415119,0.0981565568622,0.1016661087338,0.1694122994805,0.1080458288121,0.1035468974297,0.0256058962365,0.1122939247085,0.0474090056116,0.0286663242248,0.0251030100479,0.0315145153693,0.1557018891603,0,0.0267096525277,0.0901546703905,0.0453585837185,0.0279644029109,0.1009284372041,0.0319692673889,0.0287563804806,0.0262529506459,0.0982127195134,0.1053821039422,0.1117824412427,0.1302697664906,0.1013832995178,0.1004954101365,0.1337991355879,0.0273959342391,0.0362823884517
"1642.MS00463",0.0908625868183,0.0226636828764,0.025819158679,0.0246358554187,0.0978234484221,0.0238986072797,0.0949293871028,0.0229223400411,0.1661276046315,0.0895203830065,0.0877573528884,0.0904477856086,0.1728498335082,0.096250296,0.0876970118388,0.0237330786006,0.1014807467967,0.0407871289308,0.022045843095,0.0196878213482,0.0255316799408,0.1527977638837,0.0267096525277,0,0.0760325855126,0.0393094985048,0.0222971911118,0.0901608843106,0.0240134825522,0.0243700502923,0.0218609920464,0.087993384295,0.0895566060313,0.1003209650334,0.1123819113866,0.090244807305,0.0968532258378,0.1192266901168,0.0214182550539,0.027043539786
"2382.GM.181.R1.rhizo.10.12.lane7.NoIndex.L007.sequences",0.0378326060406,0.093000771311,0.0691227678325,0.0671310718958,0.0425530981315,0.0800391219668,0.0380946500267,0.0817734717788,0.1158016424227,0.031903875334,0.0391417977155,0.0272643568738,0.1242701884164,0.0366788673855,0.0337842917985,0.0741787730283,0.0494527306043,0.0746573682559,0.0739017806933,0.0769198361856,0.0736163070694,0.1077346679363,0.0901546703905,0.0760325855126,0,0.0674012048588,0.0729450035839,0.0350840254791,0.0688301535456,0.0815727100186,0.0679788002306,0.0378936216671,0.0325843160627,0.0428219034798,0.043783803433,0.0373836018243,0.0554053404232,0.0606931926869,0.0779505286086,0.0681743207247
