"","1642.MS00397","1642.MS00435","1642.MS00573","2382.MU002.C3.HA.4.692.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00410","2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00409","1642.MS00519","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00635","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00531","1642.MS00558","2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00413","1642.MS00430","1642.MS00393","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00423","1642.MS00574","1642.MS00343","2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.383.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00487","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00524","1642.MS00640","2382.HE003.C181.HA.1.753.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.567.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00365","1642.MS00577","1642.MS00485","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.75.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00502","1642.MS00346","1642.MS00472"
"2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences",0.0979219549331,0.1046206824021,0.0951395167939,0.0608740948397,0.0146627451471,0.015882041345,0.1089689084747,0.0518189685056,0.0952591344879,0.1167507281111,0,0.118163401095,0.0550833925324,0.1221568721382,0.1149201255116,0.0471980542327,0.0492698494466,0.1089897354492,0.093526923956,0.1004452685473,0.057460650759,0.1030862382921,0.1119394065832,0.1027055555927,0.0155224466737,0.0358623801693,0.1305490142921,0.0508206745525,0.1228132445719,0.1189624390614,0.0147675459444,0.05684446096,0.0990529550517,0.1059453814327,0.1263257490878,0.0150581664013,0.0214080358753,0.1049370142161,0.0776038279095,0.0960687907579
"1642.MS00635",0.024677099457,0.0247586487482,0.0208763076663,0.1010044954924,0.1087984201369,0.1076375040048,0.025689280005,0.0928744926237,0.0231251740743,0.0220110626867,0.118163401095,0,0.0980855540716,0.022076204517,0.0269075410929,0.098086987449,0.09530926556,0.0261205584011,0.0246397501507,0.0245447850788,0.0910837029442,0.02494313165,0.0221887565715,0.037435951685,0.1071733211839,0.1004091118592,0.0227792461403,0.0914270346541,0.0265762760268,0.0205291020458,0.1204534533678,0.0970371512671,0.0384680226195,0.0202729480319,0.0223341350057,0.1157959578906,0.0999032833779,0.02129192842,0.0414041354458,0.0227851468231
"2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0954473040914,0.0785683606828,0.1011699691594,0.0276431399808,0.0602775336354,0.0597900324519,0.0830674230078,0.0252236841047,0.103946768841,0.1161162281854,0.0550833925324,0.0980855540716,0,0.1037360274852,0.0999311685372,0.0240306917828,0.0286258333897,0.0906418948946,0.0879085056982,0.0974912312825,0.0372377839385,0.0809054365772,0.0881153447472,0.0883361510377,0.0506424156817,0.059378001701,0.1118987962292,0.0241061264097,0.0870374573355,0.1036933564316,0.063433316122,0.0290093786143,0.0931437699797,0.1056836470522,0.11098177161,0.0497745901553,0.0460240020424,0.113231050384,0.0950555590384,0.0871667572865
"1642.MS00531",0.0231737084844,0.0245919153338,0.0224467621076,0.1072456538546,0.1130398556611,0.1103417313536,0.0235868773996,0.0954266408281,0.0210506276852,0.0236729612458,0.1221568721382,0.022076204517,0.1037360274852,0,0.0255917074169,0.1006958235533,0.0981334659448,0.0246657507615,0.0237388813147,0.0235101999291,0.0908209669279,0.0240360627971,0.0214874090761,0.0355535889283,0.1105191970835,0.1033242285888,0.0215736661587,0.0948512016623,0.0237188131192,0.0225131642455,0.1250600908709,0.098295417189,0.0389111214184,0.0205440476832,0.0184899712957,0.1204012682822,0.1058344398643,0.020528856281,0.0394678032117,0.0215328450775
"1642.MS00558",0.0251071150327,0.0258452696031,0.0236681228086,0.0958087260735,0.1084872746975,0.0989218133641,0.0221138362069,0.0828874977952,0.0223541642931,0.0253771910456,0.1149201255116,0.0269075410929,0.0999311685372,0.0255917074169,0,0.0908708207647,0.0865497234068,0.024012785974,0.0240521751824,0.0252267909581,0.0846691242797,0.02468803827,0.0239986679834,0.0382636783897,0.1036633826625,0.093854791181,0.0238608022707,0.0830351100513,0.0235967211318,0.0251735198849,0.1163058376991,0.0889113404711,0.0423711943605,0.0240246294298,0.0245678895828,0.10761607952,0.0942150097158,0.0237501851682,0.0437678551886,0.0267642067624
"2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0834062816923,0.076937972724,0.0873865540944,0.0244010993214,0.0495093751433,0.0348644101636,0.0841966703391,0.0280128253768,0.0802294061769,0.1000701645819,0.0471980542327,0.098086987449,0.0240306917828,0.1006958235533,0.0908708207647,0,0.0267203156322,0.0857027491847,0.0866058162946,0.0823658606436,0.0475498227303,0.0823368604873,0.0889710701014,0.0820734641008,0.0378371041418,0.057921835353,0.1071484339864,0.0212150700025,0.0905230518759,0.1016794250005,0.0601842015937,0.0368784656348,0.0822366316973,0.0904590705278,0.1065171816525,0.0479779433495,0.0276970071887,0.0888069762303,0.077293977559,0.085819720333
"2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0798434734263,0.0778613639736,0.0836586183723,0.0322009525638,0.0515789429556,0.0405393604066,0.0799587232822,0.0216270086132,0.0762817243076,0.0988962092594,0.0492698494466,0.09530926556,0.0286258333897,0.0981334659448,0.0865497234068,0.0267203156322,0,0.0828610398845,0.0839203239645,0.0793085896495,0.0487636978881,0.0769537998447,0.0846446994671,0.0843317248247,0.0522608759603,0.0613239995792,0.0998544894788,0.0271558202767,0.0895885125371,0.0974098291596,0.0633279554831,0.0361429911906,0.081823006249,0.0886025302796,0.1038601781978,0.0510572076411,0.0333112358749,0.0876789713262,0.0791067713766,0.0838687868572
"1642.MS00413",0.0200780207645,0.020876962226,0.0229512010196,0.0883063521865,0.1005821658327,0.0956556964617,0.0190898360554,0.078810663837,0.018134880368,0.0253674056707,0.1089897354492,0.0261205584011,0.0906418948946,0.0246657507615,0.024012785974,0.0857027491847,0.0828610398845,0,0.0210231353788,0.0198804478704,0.0768541851747,0.0224771426963,0.0229519744602,0.0270917562078,0.0979809395667,0.0908081064938,0.0231169689023,0.0782137659356,0.0228691328497,0.0278463034647,0.1146246419647,0.0818837264482,0.0268400855072,0.0229411784152,0.025366539721,0.1060393245042,0.0904449867631,0.0244208260451,0.0274419614953,0.0214051437644
"1642.MS00430",0.0197673178638,0.0193942027012,0.0224882080717,0.0911711463519,0.0949837110482,0.0870480315927,0.0194926735499,0.0802760804067,0.0188013443463,0.0224483359666,0.093526923956,0.0246397501507,0.0879085056982,0.0237388813147,0.0240521751824,0.0866058162946,0.0839203239645,0.0210231353788,0,0.0197118786859,0.0800095314845,0.0203021591548,0.023617727859,0.0239992431915,0.0897554260009,0.0853249957823,0.02289797615,0.0799455632617,0.0252769538039,0.024773359668,0.100492786628,0.0859085830313,0.025921280379,0.0213440666453,0.0224853568312,0.093733868051,0.0873373654,0.0228541750392,0.0274220033509,0.0219173632991
"1642.MS00393",0.0181160106865,0.0205218405114,0.0216000559098,0.0860232171148,0.0945453885409,0.090462395035,0.0193326745362,0.0761600021448,0.0176026928386,0.0255718244907,0.1004452685473,0.0245447850788,0.0974912312825,0.0235101999291,0.0252267909581,0.0823658606436,0.0793085896495,0.0198804478704,0.0197118786859,0,0.0714128928602,0.0191653625782,0.0216835773387,0.0230611757608,0.0887107440085,0.0815244695767,0.0235157273847,0.0754059757801,0.0246894036888,0.0258190985867,0.1024438074402,0.079058422784,0.0250285449554,0.0201502049821,0.0229216103377,0.0992152050593,0.087810462194,0.0227277781109,0.0247699003059,0.02026484922
