"","2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00472","1642.MS00487","2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00519","1642.MS00531","1642.MS00423","2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00485","1642.MS00409","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00435","1642.MS00365","1642.MS00640","1642.MS00574","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00393","1642.MS00524","1642.MS00577","2382.HE003.C181.HA.4.567.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00397","1642.MS00558","1642.MS00573","2382.HE003.C181.HA.1.753.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.75.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00430","1642.MS00502","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00410","1642.MS00635","1642.MS00343","2382.RU006.C181.RH.2.383.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00413","1642.MS00346","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.692.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences"
"1642.MS00640",0.9422,0.9256,0.5652,0.5552,0.9238,0.5068,0.5432,0.569,0.926,0.4958,0.6026,0.9538,0.913,0.6082,0.6994,0,0.536,0.9222,0.5812,0.591,0.5336,0.9374,0.5802,0.579,0.5646,0.955,0.932,0.569,0.5302,0.9416,0.9,0.606,0.495,0.6878,0.9298,0.6068,0.7204,0.9504,0.9288,0.9424
"1642.MS00574",0.9344,0.9014,0.5318,0.5184,0.8982,0.5686,0.5202,0.4616,0.893,0.5122,0.5456,0.9524,0.8834,0.5104,0.6636,0.536,0,0.8914,0.5108,0.4994,0.4956,0.9014,0.5214,0.5292,0.4806,0.9518,0.9232,0.5346,0.5496,0.9374,0.8608,0.484,0.4894,0.6384,0.9174,0.5126,0.69,0.95,0.9068,0.9342
"2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences",0.855,0.6202,0.9012,0.921,0.6406,0.9394,0.91,0.88,0.6132,0.9172,0.907,0.8764,0.6202,0.8918,0.919,0.9222,0.8914,0,0.8982,0.8932,0.9126,0.6378,0.9026,0.896,0.9032,0.8942,0.8018,0.898,0.9304,0.8648,0.6998,0.8888,0.9054,0.9204,0.8902,0.9016,0.9228,0.879,0.6012,0.8604
"1642.MS00393",0.9356,0.9064,0.5434,0.5534,0.9056,0.5334,0.5664,0.4796,0.9012,0.5452,0.4428,0.953,0.8946,0.5264,0.589,0.5812,0.5108,0.8982,0,0.5616,0.4658,0.9152,0.422,0.5356,0.4718,0.9524,0.9238,0.517,0.4982,0.94,0.8742,0.5102,0.554,0.604,0.9236,0.4868,0.5976,0.946,0.9104,0.934
"1642.MS00524",0.947,0.9014,0.5908,0.5438,0.9012,0.6218,0.569,0.5282,0.8916,0.5706,0.5762,0.9574,0.8894,0.5226,0.6826,0.591,0.4994,0.8932,0.5616,0,0.5684,0.9058,0.5536,0.541,0.5598,0.9634,0.9308,0.548,0.5966,0.949,0.8688,0.4816,0.551,0.6696,0.9324,0.5064,0.7178,0.9608,0.9098,0.942
"1642.MS00577",0.9428,0.9212,0.5602,0.5506,0.9176,0.4852,0.5572,0.5402,0.9164,0.5332,0.478,0.9568,0.9046,0.5912,0.6448,0.5336,0.4956,0.9126,0.4658,0.5684,0,0.9292,0.4754,0.5084,0.4808,0.959,0.9328,0.5696,0.4628,0.9468,0.8912,0.5874,0.5232,0.6758,0.9246,0.5456,0.6554,0.955,0.9198,0.9412
"2382.HE003.C181.HA.4.567.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8632,0.7072,0.9168,0.93,0.736,0.9496,0.9238,0.896,0.6826,0.929,0.9232,0.8588,0.6932,0.9058,0.9322,0.9374,0.9014,0.6378,0.9152,0.9058,0.9292,0,0.9202,0.9078,0.9172,0.8852,0.8546,0.914,0.9402,0.8944,0.6802,0.8996,0.9208,0.9326,0.9022,0.9098,0.936,0.9128,0.725,0.8866
"1642.MS00397",0.9416,0.9154,0.555,0.5506,0.912,0.5118,0.5754,0.4922,0.9088,0.5468,0.4448,0.952,0.9012,0.5274,0.58,0.5802,0.5214,0.9026,0.422,0.5536,0.4754,0.9202,0,0.5254,0.499,0.9546,0.9254,0.5116,0.5014,0.941,0.879,0.5162,0.5718,0.6206,0.9256,0.475,0.592,0.9494,0.9112,0.9312
"1642.MS00558",0.9418,0.907,0.6156,0.5682,0.9002,0.5558,0.5978,0.5354,0.8992,0.5564,0.5262,0.9534,0.903,0.5876,0.657,0.579,0.5292,0.896,0.5356,0.541,0.5084,0.9078,0.5254,0,0.5262,0.9574,0.9322,0.5586,0.5444,0.9428,0.8802,0.55,0.5898,0.6868,0.9252,0.5212,0.6696,0.96,0.9182,0.9386
"1642.MS00573",0.9398,0.9118,0.5582,0.567,0.9118,0.532,0.5558,0.5202,0.9056,0.5582,0.5174,0.9552,0.9012,0.5492,0.6526,0.5646,0.4806,0.9032,0.4718,0.5598,0.4808,0.9172,0.499,0.5262,0,0.9598,0.9302,0.569,0.5116,0.9476,0.8738,0.5376,0.5284,0.6688,0.9316,0.5348,0.6472,0.9562,0.9126,0.9416
"2382.HE003.C181.HA.1.753.root.9.12.lane7.NoIndex.L007.sequences",0.5946,0.907,0.9508,0.9658,0.8518,0.9626,0.9586,0.949,0.9104,0.96,0.9616,0.5238,0.8954,0.9572,0.9638,0.955,0.9518,0.8942,0.9524,0.9634,0.959,0.8852,0.9546,0.9574,0.9598,0,0.7346,0.9526,0.9638,0.519,0.9056,0.9536,0.9492,0.9598,0.727,0.962,0.9616,0.7426,0.9014,0.5896
"2382.MU002.C3.HA.4.75.root.6.11.lane1.NoIndex.L001.sequences",0.6928,0.7776,0.9226,0.9388,0.7526,0.9434,0.932,0.912,0.803,0.9384,0.9344,0.7586,0.7716,0.9232,0.9292,0.932,0.9232,0.8018,0.9238,0.9308,0.9328,0.8546,0.9254,0.9322,0.9302,0.7346,0,0.9258,0.9436,0.6548,0.88,0.927,0.9244,0.9296,0.8268,0.9358,0.9358,0.621,0.7668,0.5388
"1642.MS00430",0.9334,0.9086,0.5464,0.5254,0.8994,0.567,0.5544,0.4796,0.9008,0.519,0.5298,0.952,0.892,0.4794,0.6108,0.569,0.5346,0.898,0.517,0.548,0.5696,0.914,0.5116,0.5586,0.569,0.9526,0.9258,0,0.5854,0.9386,0.872,0.4654,0.529,0.5856,0.92,0.5172,0.667,0.9484,0.9112,0.9336
"1642.MS00502",0.955,0.9334,0.5712,0.5476,0.9308,0.4676,0.5752,0.578,0.93,0.5136,0.4308,0.9616,0.9268,0.6202,0.6754,0.5302,0.5496,0.9304,0.4982,0.5966,0.4628,0.9402,0.5014,0.5444,0.5116,0.9638,0.9436,0.5854,0,0.954,0.91,0.6212,0.5564,0.707,0.9394,0.559,0.6804,0.9616,0.9342,0.9536
"2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences",0.5458,0.8618,0.9378,0.9584,0.8214,0.9544,0.9464,0.9356,0.878,0.9494,0.95,0.6322,0.864,0.9396,0.946,0.9416,0.9374,0.8648,0.94,0.949,0.9468,0.8944,0.941,0.9428,0.9476,0.519,0.6548,0.9386,0.954,0,0.895,0.9432,0.937,0.9456,0.7644,0.951,0.9484,0.662,0.8728,0.557
"2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8784,0.7702,0.878,0.9026,0.7902,0.9298,0.8878,0.8424,0.7416,0.9018,0.8894,0.8988,0.737,0.8588,0.9038,0.9,0.8608,0.6998,0.8742,0.8688,0.8912,0.6802,0.879,0.8802,0.8738,0.9056,0.88,0.872,0.91,0.895,0,0.8578,0.881,0.9018,0.8042,0.8762,0.9028,0.924,0.7756,0.899
"1642.MS00410",0.9376,0.8978,0.5686,0.54,0.8984,0.6224,0.5644,0.463,0.8908,0.5684,0.5316,0.9518,0.8914,0.4514,0.6442,0.606,0.484,0.8888,0.5102,0.4816,0.5874,0.8996,0.5162,0.55,0.5376,0.9536,0.927,0.4654,0.6212,0.9432,0.8578,0,0.5398,0.6126,0.9216,0.4866,0.6784,0.951,0.9044,0.9312
"1642.MS00635",0.9334,0.91,0.5268,0.5498,0.9086,0.5384,0.522,0.5268,0.905,0.5168,0.5974,0.9534,0.8948,0.5304,0.6972,0.495,0.4894,0.9054,0.554,0.551,0.5232,0.9208,0.5718,0.5898,0.5284,0.9492,0.9244,0.529,0.5564,0.937,0.881,0.5398,0,0.6586,0.9212,0.5826,0.721,0.9464,0.9138,0.9364
"1642.MS00343",0.9444,0.9254,0.663,0.6694,0.9228,0.6958,0.6668,0.5966,0.9172,0.675,0.6408,0.9578,0.9114,0.5732,0.4986,0.6878,0.6384,0.9204,0.604,0.6696,0.6758,0.9326,0.6206,0.6868,0.6688,0.9598,0.9296,0.5856,0.707,0.9456,0.9018,0.6126,0.6586,0,0.9278,0.6244,0.5164,0.944,0.9276,0.9434
"2382.RU006.C181.RH.2.383.root.9.11.lane1.NoIndex.L001.sequences",0.7306,0.8952,0.9162,0.944,0.8686,0.9482,0.9278,0.9056,0.8896,0.9314,0.9306,0.7568,0.8882,0.9246,0.9292,0.9298,0.9174,0.8902,0.9236,0.9324,0.9246,0.9022,0.9256,0.9252,0.9316,0.727,0.8268,0.92,0.9394,0.7644,0.8042,0.9216,0.9212,0.9278,0,0.9354,0.9358,0.8614,0.8998,0.7678
"1642.MS00413",0.9482,0.9148,0.552,0.5452,0.9066,0.5682,0.6014,0.4942,0.904,0.5724,0.485,0.9602,0.899,0.5042,0.588,0.6068,0.5126,0.9016,0.4868,0.5064,0.5456,0.9098,0.475,0.5212,0.5348,0.962,0.9358,0.5172,0.559,0.951,0.8762,0.4866,0.5826,0.6244,0.9354,0,0.633,0.957,0.9168,0.9406
"1642.MS00346",0.9496,0.9284,0.7042,0.7346,0.9256,0.6916,0.7234,0.6468,0.9258,0.7274,0.634,0.9604,0.9154,0.6498,0.4706,0.7204,0.69,0.9228,0.5976,0.7178,0.6554,0.936,0.592,0.6696,0.6472,0.9616,0.9358,0.667,0.6804,0.9484,0.9028,0.6784,0.721,0.5164,0.9358,0.633,0,0.9508,0.933,0.9478
"2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences",0.7412,0.8602,0.9374,0.9642,0.85,0.9568,0.9418,0.9436,0.8894,0.9598,0.9566,0.809,0.8714,0.9494,0.951,0.9504,0.95,0.879,0.946,0.9608,0.955,0.9128,0.9494,0.96,0.9562,0.7426,0.621,0.9484,0.9616,0.662,0.924,0.951,0.9464,0.944,0.8614,0.957,0.9508,0,0.8784,0.6392
"2382.MU002.C3.HA.4.692.rhizo.9.12.lane7.NoIndex.L007.sequences",0.8718,0.6346,0.913,0.9296,0.5842,0.9394,0.9266,0.8982,0.6572,0.928,0.921,0.8926,0.586,0.9056,0.9258,0.9288,0.9068,0.6012,0.9104,0.9098,0.9198,0.725,0.9112,0.9182,0.9126,0.9014,0.7668,0.9112,0.9342,0.8728,0.7756,0.9044,0.9138,0.9276,0.8998,0.9168,0.933,0.8784,0,0.8458
"2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences",0.5722,0.8708,0.9318,0.95,0.8102,0.9476,0.9298,0.9266,0.8708,0.9452,0.943,0.6998,0.857,0.936,0.946,0.9424,0.9342,0.8604,0.934,0.942,0.9412,0.8866,0.9312,0.9386,0.9416,0.5896,0.5388,0.9336,0.9536,0.557,0.899,0.9312,0.9364,0.9434,0.7678,0.9406,0.9478,0.6392,0.8458,0
