"","2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00472","1642.MS00487","2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00519","1642.MS00531","1642.MS00423","2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00485","1642.MS00409","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00435","1642.MS00365","1642.MS00640","1642.MS00574","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00393","1642.MS00524","1642.MS00577","2382.HE003.C181.HA.4.567.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00397","1642.MS00558","1642.MS00573","2382.HE003.C181.HA.1.753.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.75.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00430","1642.MS00502","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00410","1642.MS00635","1642.MS00343","2382.RU006.C181.RH.2.383.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00413","1642.MS00346","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.692.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences"
"1642.MS00573",1,1,-0.421,-0.364,1,-0.844,-0.474,-0.878,1,-0.553,-0.932,1,1,-0.475,0.736,-0.334,-0.997,1,-1,-0.313,-1,1,-0.976,-0.848,0,1,1,-0.172,-0.97,1,1,-0.737,-0.818,0.958,1,-0.737,0.369,1,1,1
"2382.HE003.C181.HA.1.753.root.9.12.lane7.NoIndex.L007.sequences",-0.998,0.994,1,1,0.455,1,1,1,0.998,1,1,-1,0.988,1,1,1,1,0.986,1,1,1,0.94,1,1,1,0,-0.912,1,1,-1,0.998,1,1,1,-0.897,1,1,-0.87,0.992,-1
"2382.MU002.C3.HA.4.75.root.6.11.lane1.NoIndex.L001.sequences",-0.88,0.98,1,1,0.827,1,1,1,0.996,1,1,-0.768,0.96,1,1,1,1,1,1,1,1,1,1,1,1,-0.912,0,1,1,-0.95,1,1,1,1,0.859,1,1,-0.994,0.932,-1
"1642.MS00430",1,1,-0.356,-0.838,1,-0.24,-0.276,-0.99,1,-0.866,-0.756,1,1,-0.986,0.176,0.02,-0.533,1,-0.792,-0.174,-0.0679999999999999,1,-0.899,-0.15,-0.172,1,1,0,-0.027,1,1,-0.997,-0.667,-0.0590000000000001,1,-0.766,0.798,1,1,1
"1642.MS00502",1,1,-0.344,-0.75,1,-1,-0.284,-0.215,1,-0.976,-1,1,1,0.642,0.928,-0.869,-0.657,1,-0.996,0.233,-1,1,-0.98,-0.741,-0.97,1,1,-0.027,0,1,1,0.591,-0.526,1,1,-0.531,0.85,1,1,1
"2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences",-1,0.996,1,1,0.808,1,1,1,1,1,1,-0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-0.95,1,1,0,1,1,1,1,-0.411,1,1,-0.932,0.996,-0.998
"2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences",0.994,1,1,1,1,1,1,1,0.996,1,1,1,1,1,1,1,1,0.864,1,1,1,-0.138,1,1,1,0.998,1,1,1,1,0,1,1,1,0.728,1,1,1,1,1
"1642.MS00410",1,1,0.0149999999999999,-0.622,1,0.705,-0.091,-0.998,1,-0.244,-0.761,1,1,-1,0.762,0.716,-0.982,1,-0.882,-0.985,0.253,1,-0.903,-0.401,-0.737,1,1,-0.997,0.591,1,1,0,-0.489,0.468,1,-0.972,0.89,1,1,1
"1642.MS00635",1,1,-0.685,-0.467,1,-0.685,-0.776,-0.687,1,-0.912,0.318,1,1,-0.561,1,-0.97,-0.972,1,-0.285,-0.138,-0.799,1,-0.0570000000000001,0.371,-0.818,1,1,-0.667,-0.526,1,1,-0.489,0,0.948,1,0.322,0.996,1,1,1
"1642.MS00343",1,1,0.982,0.974,1,1,0.977,0.0840000000000001,1,0.988,0.749,1,1,-0.197,-0.996,0.998,0.848,1,0.182,0.996,0.988,1,0.416,0.996,0.958,1,1,-0.0590000000000001,1,1,1,0.468,0.948,0,1,0.638,-0.994,1,1,1
"2382.RU006.C181.RH.2.383.root.9.11.lane1.NoIndex.L001.sequences",-0.734,1,1,1,1,1,1,1,1,1,1,-0.778,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.897,0.859,1,1,-0.411,0.728,1,1,1,0,1,1,0.886,1,-0.356
"1642.MS00413",1,1,-0.275,-0.578,1,-0.242,0.586,-0.96,1,-0.203,-0.993,1,1,-0.887,-0.272,0.712,-0.808,1,-0.986,-0.866,-0.502,1,-0.992,-0.788,-0.737,1,1,-0.766,-0.531,1,1,-0.972,0.322,0.638,1,0,0.191,1,1,1
"1642.MS00346",1,1,0.988,0.998,1,0.94,0.998,0.508,1,0.998,0.14,1,1,0.504,-1,0.998,0.951,1,-0.423,1,0.562,1,-0.476,0.752,0.369,1,1,0.798,0.85,1,1,0.89,0.996,-0.994,1,0.191,0,1,1,1
"2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences",-0.769,0.992,1,1,0.964,1,1,1,1,1,1,-0.335,0.998,1,1,1,1,1,1,1,1,1,1,1,1,-0.87,-0.994,1,1,-0.932,1,1,1,1,0.886,1,1,0,0.996,-0.961
"2382.MU002.C3.HA.4.692.rhizo.9.12.lane7.NoIndex.L007.sequences",0.996,-0.037,1,1,-0.666,1,1,1,0.434,1,1,0.996,-0.561,1,1,1,1,-0.378,1,1,1,0.733,1,1,1,0.992,0.932,1,1,0.996,1,1,1,1,1,1,1,0.996,0,0.994
"2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences",-1,1,1,1,0.816,1,1,1,1,1,1,-0.932,0.998,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-0.998,1,1,1,1,-0.356,1,1,-0.961,0.994,0
