"","1642.MS00489","2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00511","1642.MS00568","1642.MS00625","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00429","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.783.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.293.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.1.353.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00409","1642.MS00474","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.268.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.1.403.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00638","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00581","2382.RU006.C181.RH.1.777.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00467","1642.MS00391","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00393","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00586","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00584","2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00585","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00578","2382.HE003.C181.HA.5.773.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00445","1642.MS00417","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences"
"2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences",0.9566,0.8306,0.6828,0.8468,0.9578,0.9444,0.9462,0.905,0.948,0.5686,0.8236,0.6586,0.5176,0.6816,0.9524,0.9392,0.9252,0.5548,0.5284,0.948,0.8768,0.9468,0.8932,0.949,0.9494,0.849,0.948,0,0.9538,0.5946,0.9578,0.8726,0.9512,0.9094,0.9602,0.6078,0.9548,0.9462,0.9198,0.9134
"1642.MS00586",0.5408,0.922,0.9614,0.924,0.559,0.5244,0.5848,0.904,0.6426,0.97,0.951,0.958,0.9322,0.9652,0.6244,0.523,0.9054,0.9364,0.9544,0.5998,0.9152,0.4738,0.9144,0.516,0.5946,0.9252,0.6146,0.9538,0,0.9538,0.4712,0.9004,0.5572,0.9054,0.5236,0.9542,0.5802,0.5858,0.9078,0.899
"2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences",0.9546,0.8048,0.5824,0.8184,0.9586,0.9408,0.9442,0.9164,0.9478,0.6162,0.8696,0.577,0.6076,0.6798,0.9512,0.935,0.9262,0.4922,0.4814,0.951,0.8908,0.9498,0.9036,0.9494,0.947,0.8314,0.9416,0.5946,0.9538,0,0.9576,0.8636,0.9542,0.916,0.9596,0.6926,0.9518,0.9424,0.926,0.9248
"1642.MS00584",0.518,0.936,0.9638,0.9416,0.539,0.5048,0.588,0.9202,0.6172,0.9724,0.9536,0.9646,0.9386,0.9696,0.5748,0.4866,0.92,0.9408,0.9602,0.5592,0.9222,0.4858,0.9274,0.5232,0.576,0.9384,0.5816,0.9578,0.4712,0.9576,0,0.918,0.5428,0.9208,0.507,0.956,0.571,0.5558,0.9202,0.9262
"2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences",0.902,0.6872,0.9274,0.6456,0.9196,0.8798,0.8632,0.628,0.8864,0.9152,0.86,0.891,0.827,0.8942,0.8854,0.8766,0.7094,0.8166,0.8638,0.8762,0.659,0.889,0.5464,0.902,0.8986,0.6998,0.8658,0.8726,0.9004,0.8636,0.918,0,0.8746,0.5694,0.9212,0.8536,0.885,0.8636,0.6724,0.7152
"1642.MS00585",0.5346,0.9102,0.9642,0.9136,0.6134,0.5216,0.494,0.8734,0.5926,0.9642,0.9438,0.9588,0.9274,0.9624,0.5728,0.4906,0.8786,0.926,0.9448,0.522,0.89,0.4956,0.889,0.5644,0.6172,0.91,0.5434,0.9512,0.5572,0.9542,0.5428,0.8746,0,0.8702,0.6216,0.947,0.5324,0.51,0.8776,0.8808
"2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8972,0.7738,0.938,0.7822,0.9204,0.8802,0.8562,0.5494,0.8926,0.9318,0.8196,0.9232,0.8636,0.9074,0.8894,0.8748,0.5626,0.844,0.9094,0.87,0.7104,0.897,0.5178,0.8984,0.9028,0.807,0.8742,0.9094,0.9054,0.916,0.9208,0.5694,0.8702,0,0.9266,0.8766,0.881,0.8596,0.5216,0.7172
"1642.MS00578",0.5856,0.9406,0.9678,0.9438,0.455,0.5206,0.679,0.9266,0.6702,0.9752,0.9538,0.9658,0.948,0.9686,0.5506,0.5624,0.929,0.9514,0.96,0.6062,0.9386,0.5624,0.9336,0.532,0.5506,0.941,0.565,0.9602,0.5236,0.9596,0.507,0.9212,0.6216,0.9266,0,0.9612,0.6522,0.6416,0.928,0.931
"2382.HE003.C181.HA.5.773.root.9.12.lane7.NoIndex.L007.sequences",0.957,0.8504,0.798,0.8574,0.957,0.9428,0.9418,0.8896,0.9508,0.5636,0.7812,0.7306,0.6746,0.4456,0.9508,0.9354,0.9152,0.5836,0.6646,0.9436,0.875,0.9508,0.8576,0.9478,0.9484,0.868,0.9422,0.6078,0.9542,0.6926,0.956,0.8536,0.947,0.8766,0.9612,0,0.9514,0.9434,0.9072,0.905
"1642.MS00445",0.5298,0.9162,0.9662,0.918,0.6048,0.5628,0.5512,0.8836,0.5406,0.9714,0.941,0.963,0.9272,0.9646,0.5492,0.5172,0.8804,0.928,0.9484,0.5616,0.8982,0.567,0.8976,0.5564,0.5544,0.9196,0.5334,0.9548,0.5802,0.9518,0.571,0.885,0.5324,0.881,0.6522,0.9514,0,0.4966,0.88,0.8916
"1642.MS00417",0.5378,0.8976,0.955,0.9016,0.5964,0.517,0.5122,0.87,0.5296,0.9656,0.9378,0.9524,0.9158,0.9596,0.5086,0.4814,0.8676,0.9194,0.9408,0.528,0.8806,0.548,0.8824,0.5482,0.5276,0.9002,0.4778,0.9462,0.5858,0.9424,0.5558,0.8636,0.51,0.8596,0.6416,0.9434,0.4966,0,0.8692,0.8604
"2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9034,0.8356,0.9412,0.8164,0.9218,0.8856,0.8604,0.5198,0.8964,0.9454,0.8048,0.9284,0.8682,0.9288,0.891,0.8754,0.509,0.8622,0.9152,0.8758,0.7728,0.901,0.6562,0.9006,0.905,0.8422,0.8744,0.9198,0.9078,0.926,0.9202,0.6724,0.8776,0.5216,0.928,0.9072,0.88,0.8692,0,0.7516
"2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences",0.9096,0.7492,0.9536,0.7774,0.924,0.8902,0.8504,0.7204,0.9036,0.9398,0.891,0.9364,0.8754,0.9294,0.8966,0.8806,0.7872,0.887,0.9148,0.8786,0.7084,0.8964,0.697,0.9062,0.9054,0.7776,0.8722,0.9134,0.899,0.9248,0.9262,0.7152,0.8808,0.7172,0.931,0.905,0.8916,0.8604,0.7516,0
